Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
494179,Royal & the Serpent,overwhelmed - Chri$tian Gate$ remix,4Kh6cq3XgOGUK9yXQu7RTq,65,2021,electro,0.619,0.502,0,-8.097,0,0.249,0.178,0.0,0.155,0.38,174.196,134483,4
452879,Migos,Need It,6mtjo5kIHKlboGE84lf1FJ,65,2020,hip-hop,0.852,0.745,11,-3.667,0,0.171,0.0313,0.0,0.0824,0.897,148.007,195681,4
605401,Bryant Myers,On Fleek,6plOBNhg7WOoCdtLGAGp43,65,2023,hip-hop,0.81,0.671,10,-5.527,0,0.177,0.436,0.0,0.124,0.9,90.989,277218,4
462307,Camilo,BEBÉ,7D7EH7MGyNHWSkqrszerI1,65,2020,pop,0.862,0.72,4,-4.048,1,0.0379,0.487,1.19e-06,0.0604,0.965,129.972,198707,4
520532,BoyWithUke,Loafers,0jcPxc7Fme2oYb2MfFkOy6,65,2021,sad,0.652,0.649,1,-9.143,1,0.335,0.544,0.0,0.118,0.557,100.465,215394,4
560701,Farruko,Nazareno,0RGpd5zCowfEItCUF7Itpr,65,2022,hip-hop,0.658,0.725,7,-4.604,0,0.0321,0.0292,0.000107,0.163,0.368,128.117,223173,4
77601,Arctic Monkeys,I Want It All,1j9rezdE3YeC7yktZXC1em,65,2013,garage,0.499,0.81,5,-5.579,1,0.0347,0.000637,0.0748,0.0625,0.288,131.052,185406,4
411386,Esteban Gabriel,Piel de Seda,5BGVjoFtSSYov2pMpmo1La,65,2019,sad,0.732,0.411,5,-10.449,1,0.0449,0.601,0.000201,0.111,0.22,126.009,166667,4
498443,MC Teteu,Black Lança (Catucando Gostosinho),3qmdfYpfvKRIXmWaLllHZ3,65,2021,funk,0.939,0.582,6,-3.545,1,0.138,0.11,0.0,0.295,0.418,130.004,153231,4
452892,Lil Baby,Commercial (feat. Lil Uzi Vert),3tDqEKKUs6gf8zMvSuLyLA,65,2020,hip-hop,0.892,0.486,11,-8.637,0,0.384,0.048,0.0,0.146,0.535,120.998,214215,4
541789,Tyga,Nasty,0WlotBaAKbCwFTRnrypGpu,65,2022,dance,0.581,0.512,2,-8.126,1,0.285,0.148,0.0,0.111,0.685,104.196,207692,4
